Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mauritania,MRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.1,22.2,21.7,23,24.3,18.2,27,33,30,31.1,34.2,35.3,36.4,37.6,38.8,39.5,41.2,42.9,43.6,44.9,45.4,47.7,49,..
Mauritania,MRT,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,4.10535342259044,-1.1783106776536,0.248833829429458,-0.962485029400852,1.06729078298125,10.0813698014738,3.73230670150942,-1.00082125196263,8.66633536987793,-2.66250870121671,3.16488703110815,-12.915233829089,5.8800655502137,1.55311585118156,15.1395798245602,4.66264679635185,-4.17129326666684,10.6959672408451,4.75769733285421,-5.59742312463256,-6.25854451710123,10.64741230071,15.6110738976623,-0.314035651218418,8.50543532641825,2.09484080112439,-1.14453984550794,1.46464281237925,10.2211106147221,7.3100479757273,15.22737420284,-0.534519272943996,6.05569673265688,-9.88444155287937,4.57109759741536,12.2595857438242,4.96619210727278,17.9416368819078,9.43523044549923,7.5094585669321,-1.72611137992995,..,..
Mauritania,MRT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,944352779.728793,977222584.404643,974562461.07069,1018214086.6325,951672198.041601,866116805.462841,1023198305.33389,1173813148.98221,1247687257.85002,1283711703.27438,1330226375.60064,1956102665.11504,1974314096.47353,1671316203.41604,1755746470.62969,1884044680.90786,2016653805.82124,1951534939.31447,1913319249.97038,1883676446.10745,1685448884.56128,1586367570.91019,1687253947.80531,1965067550.2389,2215603702.23195,2644996390.73191,3076290602.65943,3410868371.46269,4148018489.48072,4169719833.75847,4631672245.55203,5566588660.04563,5498149502.27279,6068102674.17665,5519299451.27485,5362348342.72415,5612029554.95214,5965315417.89539,6798011634.05522,7298905585.78212,7580647427.35943,8391225494.76751,..,..
Mauritania,MRT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,640.654838243384,644.233240008678,624.24893866591,633.711916278304,575.4829935433,508.849799373859,584.072304374493,651.028305372121,672.296364028743,674.555609356348,681.511024562314,973.312275090106,945.491597273898,768.658731992616,780.521171195183,814.892226531146,855.170921835426,809.326953656844,773.167307216404,741.109465446898,644.915605349912,592.202202104776,616.088535359624,701.297391348643,772.346884205313,899.946680461981,1020.78223909115,1102.7492108824,1303.06879169832,1269.53443432762,1365.88618447906,1589.17756625911,1519.23123747188,1624.95606270721,1434.13781300389,1352.09374144416,1373.25680989428,1416.73761884183,1567.19808701075,1633.70246797287,1647.91990214179,1772.21727437045,..,..
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,2.84077075599652,2.86446503362075,2.87857674179332,2.8771632352728,2.87999529641151,2.88559266573209,2.87969146068109,2.8795899030444,2.88879526231512,2.51091496769222,2.5335174710203,2.92123792785109,3.82669577865452,4.04483281809764,3.39678688176153,2.74327836229324,1.97732237962951,2.22749819161846,2.593086654003,2.67329856414459,2.78353822069134,2.46862570579989,2.2112923085405,2.28829406566231,2.34965515386841,2.42430459268211,2.50658248493226,2.60052819123955,2.87480873438379,3.12899450909418,3.19159403639576,3.24512473547367,3.26413503920642,3.135806545909,3.01218949095495,3.00605924056849,2.99795842489143,2.98778789331469,2.97356403059489,2.95347297852629,2.92092559048913,2.88703345850902,2.92956466448208,2.96653079197429
Mauritania,MRT,"Population, total",SP.POP.TOTL,1474043,1516877,1561176,1606746,1653693,1702107,1751835,1803014,1855859,1903048,1951878,2009738,2088135,2174328,2249454,2312017,2358188,2411306,2474651,2541698,2613441,2678760,2738655,2802046,2868664,2939059,3013660,3093059,3183269,3284448,3390965,3502811,3619034,3734318,3848514,3965959,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441
Mauritania,MRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.061,55.662,56.275,56.682,57.16,57.575,57.992,58.581,59.141,59.322,59.77,59.936,60.261,60.379,60.336,60.259,60.063,60.452,60.609,60.819,61.028,61.185,61.268,61.347,61.593,61.656,61.891,62.228,62.399,62.8,63.105,63.346,63.578,63.911,64.155,64.485,64.768,65.083,65.31,65.687,64.532,64.364,64.691,..
Mauritania,MRT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,43.751,43.709,43.308,42.911,42.453,41.936,41.369,40.975,40.7,40.748,40.607,40.62,40.643,41.452,40.936,40.733,39.643,39.005,38.44,38.236,37.792,37.502,36.996,36.715,36.776,36.923,37.1,37.064,37.247,36.947,36.772,36.712,36.398,35.834,35.527,35.18,34.832,34.425,34.183,33.723,33.427,33.194,32.953,..
Mauritania,MRT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,MRT,Completeness of birth registration (%),SP.REG.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56,..,..,..,58.8,..,..,..,65.6,..,..,..,..,..,44.8,..,..
