Country Name,Country Code,Year,Access to electricity (% of population),Adjusted net national income (current US$),"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),Exports of goods and services (% of GDP),GDP per capita (current US$),"Life expectancy at birth, total (years)",Population growth (annual %),"Population, total","Suicide mortality rate (per 100,000 population)",Standard Country Name
World,WLD,1960,..,..,31.8648561435407,17.2275599569144,..,..,454.057233272847,50.9148868922479,..,3021529236,..,World
World,WLD,1961,..,..,31.1226604119118,14.5694433678419,..,..,472.105588403058,52.8714850719755,1.36487982669978,3062769479,..,World
World,WLD,1962,..,..,35.0748128122697,13.6009950797615,..,..,497.405226403489,55.2392434243266,1.78281837318779,3117373096,..,World
World,WLD,1963,..,..,36.2512940766829,13.4444861604241,..,..,524.35197112745,55.5719793826384,2.13929969067776,3184063049,..,World
World,WLD,1964,..,..,35.106656270087,13.5154897489647,..,..,562.911681394534,56.064843729864,2.11020165009302,3251253200,..,World
World,WLD,1965,..,..,34.4495417398957,13.3413924714402,..,..,600.873475512673,55.8919800911465,2.08363722640857,3318997522,..,World
World,WLD,1966,..,..,33.382034452049,12.9230454314249,..,..,637.857366045836,56.4219676008458,2.11177220035297,3389087189,..,World
World,WLD,1967,..,..,33.1023263390069,12.6714114066462,..,..,663.178434282278,56.8256021776814,2.06330451535632,3459014378,..,World
World,WLD,1968,..,..,33.219397664784,12.4282605382888,..,..,702.098342444081,57.2515895020951,2.0724984971427,3530702399,..,World
World,WLD,1969,..,..,32.7277424713928,12.2753941972759,..,..,759.580226308762,57.5617996589897,2.09899415541197,3604811636,..,World
World,WLD,1970,..,2561374152872.31,32.4733383841954,12.1304497268894,..,12.8223224447954,815.93385778788,57.863582606251,2.1020868120611,3680587906,..,World
World,WLD,1971,..,2823074967421.93,31.7409494200508,12.2662753070372,1201.1855797457,13.016250693671,882.926238085446,57.9775758063667,2.11990005381493,3758612691,..,World
World,WLD,1972,..,3255553475898.22,31.2701732954448,11.7520669100832,1275.02708278214,13.3717488495569,999.649096898429,58.8167973052499,2.01757734127759,3834445609,..,World
World,WLD,1973,..,3960370862696.12,30.6363371548168,11.4602137275182,1348.57642931838,14.9727405886967,1198.54502396733,59.3170505529991,1.99826123025859,3911067849,..,World
World,WLD,1974,..,4452296638384.1,29.7770603585345,11.3773223773946,1348.07960337108,17.9069458619284,1358.90921093455,59.7327789394866,1.94897536792899,3987293598,..,World
World,WLD,1975,..,4952499610685.44,29.1002873039966,11.3008537337355,1356.91738029493,17.1057900386173,1485.24176746294,60.1828302438903,1.87536960000907,4062070090,..,World
World,WLD,1976,..,5373161148419.26,28.2785627306725,11.1445658347789,1427.4945156043,17.5424358818056,1585.85022779004,60.6411039131682,1.81403763025665,4135757570,..,World
World,WLD,1977,..,6057731469724.27,27.8849077134522,10.7860973522061,1473.00842586161,17.5987835418858,1761.67701839551,61.1322119422809,1.76994298531865,4208958121,..,World
World,WLD,1978,..,7154737756350.83,27.6158968822256,10.5491866031566,1524.7782725972,17.3921891869269,2049.37150788414,61.4905217846928,1.76937301011459,4283430290,..,World
World,WLD,1979,..,8108508266801.91,27.5306700094291,10.3842592143881,1569.29177559998,18.8541558625614,2328.82483527085,61.9089811216904,1.78887645677082,4360055566,..,World
World,WLD,1980,..,9039047085615.04,27.5842130974934,10.3538442635239,1585.79627655485,20.2073993835026,2580.15366018723,62.2365721080297,1.77856882386347,4437602155,..,World
World,WLD,1981,..,9419700765686.6,28.0691666107083,10.2036688923392,1594.26491275547,19.5664108162372,2621.24014168409,62.6109005520037,1.78752592569896,4516925444,..,World
World,WLD,1982,..,9388443322169.98,28.2785762057069,10.1235534571021,1568.16827315683,18.5609572625896,2547.34636967847,62.9683143245417,1.82896733683613,4599538535,..,World
World,WLD,1983,..,9537814438738.36,27.683259289471,10.1732642468315,1605.09953857146,17.9214704567041,2553.96825100519,63.2093791274017,1.8129100205484,4682924030,..,World
World,WLD,1984,..,9948946269582.49,27.4450622883373,10.0517670563762,1676.35090613691,18.2556361149027,2606.96093491901,63.5112870720988,1.77486878855046,4766039787,..,World
World,WLD,1985,..,10422365932521.2,27.4497022039351,9.93125120018593,1715.10080740423,17.6582792105577,2682.8266359668,63.80138854151,1.77716961639791,4850740398,..,World
World,WLD,1986,..,12382909858248.5,27.5668603825925,9.74167565029768,1738.82548392371,16.7460947992003,3107.56290506601,64.1964473885643,1.7929410948452,4937711316,..,World
